customer_id,registration_date,acquisition_channel,customer_segment,transaction_date,order_value,product_category
1,2023-04-13,email,premium,2023-04-15,104.24,Books
1,2023-04-13,email,premium,2023-11-16,141.21,Electronics
1,2023-04-13,email,premium,2023-11-19,129.03,Books
1,2023-04-13,email,premium,2023-08-29,67.59,Home
1,2023-04-13,email,premium,2023-10-08,102.3,Books
1,2023-04-13,email,premium,2024-06-06,115.84,Fashion
1,2023-04-13,email,premium,2024-04-01,77.06,Books
1,2023-04-13,email,premium,2024-09-23,187.46,Electronics
2,2023-05-11,email,standard,2023-06-04,58.46,Books
2,2023-05-11,email,standard,2023-09-09,64.13,Home
3,2024-03-30,social_media,basic,2024-04-16,23.95,Fashion
3,2024-03-30,social_media,basic,2024-06-21,48.57,Fashion
4,2024-04-21,referral,standard,2024-05-13,82.92,Electronics
4,2024-04-21,referral,standard,2024-12-14,70.54,Electronics
4,2024-04-21,referral,standard,2024-08-11,80.38,Books
4,2024-04-21,referral,standard,2024-08-29,71.83,Electronics
4,2024-04-21,referral,standard,2024-09-02,39.88,Books
5,2024-04-16,organic,premium,2024-04-20,79.64,Home
5,2024-04-16,organic,premium,2024-11-03,154.15,Electronics
5,2024-04-16,organic,premium,2024-10-23,131.17,Home
5,2024-04-16,organic,premium,2024-12-22,133.74,Home
5,2024-04-16,organic,premium,2024-11-26,190.36,Fashion
6,2024-07-17,social_media,standard,2024-08-14,54.92,Fashion
6,2024-07-17,social_media,standard,2024-10-29,60.22,Fashion
7,2024-10-07,paid_search,standard,2024-10-31,56.71,Electronics
7,2024-10-07,paid_search,standard,2024-12-02,63.45,Fashion
8,2023-09-16,organic,standard,2023-09-27,57.32,Books
8,2023-09-16,organic,standard,2024-01-19,60.0,Books
8,2023-09-16,organic,standard,2024-07-04,57.38,Fashion
9,2024-07-17,organic,standard,2024-07-18,66.99,Fashion
9,2024-07-17,organic,standard,2024-11-07,68.34,Electronics
10,2023-05-10,paid_search,standard,2023-06-02,65.11,Home
10,2023-05-10,paid_search,standard,2023-10-31,55.03,Books
10,2023-05-10,paid_search,standard,2023-10-14,106.03,Fashion
11,2024-05-25,organic,basic,2024-06-22,30.89,Books
11,2024-05-25,organic,basic,2024-11-17,45.27,Fashion
12,2024-05-25,organic,standard,2024-06-11,80.89,Electronics
12,2024-05-25,organic,standard,2024-12-21,92.43,Home
13,2023-10-25,organic,standard,2023-11-05,94.5,Home
13,2023-10-25,organic,standard,2023-12-02,73.28,Electronics
13,2023-10-25,organic,standard,2024-03-31,89.42,Books
13,2023-10-25,organic,standard,2024-06-22,80.64,Fashion
13,2023-10-25,organic,standard,2024-06-20,90.44,Books
14,2024-05-24,referral,basic,2024-05-25,59.86,Fashion
14,2024-05-24,referral,basic,2024-12-02,24.48,Electronics
15,2024-08-02,organic,standard,2024-08-20,85.24,Fashion
15,2024-08-02,organic,standard,2024-12-28,82.3,Fashion
15,2024-08-02,organic,standard,2024-11-20,44.66,Fashion
16,2023-08-14,paid_search,standard,2023-08-30,41.0,Fashion
16,2023-08-14,paid_search,standard,2023-12-20,65.08,Books
16,2023-08-14,paid_search,standard,2024-06-01,67.37,Fashion
16,2023-08-14,paid_search,standard,2024-05-10,77.55,Home
16,2023-08-14,paid_search,standard,2024-03-19,52.65,Electronics
17,2023-09-13,paid_search,standard,2023-09-30,58.52,Books
17,2023-09-13,paid_search,standard,2024-04-04,96.13,Electronics
17,2023-09-13,paid_search,standard,2024-02-23,71.09,Electronics
17,2023-09-13,paid_search,standard,2024-08-13,46.3,Home
18,2024-06-21,email,basic,2024-07-04,26.42,Books
18,2024-06-21,email,basic,2024-12-09,31.84,Books
18,2024-06-21,email,basic,2024-11-08,43.95,Electronics
19,2024-07-28,referral,basic,2024-08-11,26.77,Electronics
19,2024-07-28,referral,basic,2024-09-03,31.66,Electronics
19,2024-07-28,referral,basic,2024-11-24,41.27,Books
20,2023-12-16,paid_search,standard,2024-01-12,47.81,Fashion
20,2023-12-16,paid_search,standard,2024-07-15,56.19,Fashion
20,2023-12-16,paid_search,standard,2024-06-19,58.85,Electronics
20,2023-12-16,paid_search,standard,2024-07-21,63.32,Fashion
20,2023-12-16,paid_search,standard,2024-07-18,63.63,Fashion
20,2023-12-16,paid_search,standard,2024-09-08,92.95,Electronics
21,2023-09-29,paid_search,standard,2023-10-24,102.35,Books
21,2023-09-29,paid_search,standard,2024-04-24,65.19,Fashion
21,2023-09-29,paid_search,standard,2024-01-05,122.74,Books
22,2023-10-16,paid_search,standard,2023-11-06,61.34,Home
